uid,search,date
2001,spread,18/09/2021
2001,blush wine,18/09/2021
2001,male,16/09/2021
2001,spray,15/09/2021
2001,dental,12/09/2021
2001,spray,11/09/2021
2001,wine,09/09/2021
2000,decalcifier,20/09/2021
2000,pip,19/09/2021
2000,finished,15/09/2021
2000,waffles,04/09/2021
2000,specialty,01/09/2021
1999,pastry,20/09/2021
1999,vegetable juice,18/09/2021
1999,chocolate,11/09/2021
1999,finished,05/09/2021
1999,liver,05/09/2021
1999,towels,04/09/2021
1999,whipped,01/09/2021
1998,meals,17/09/2021
1998,chocolate,13/09/2021
1998,loaf,12/09/2021
1998,packaged,11/09/2021
1998,pudding,10/09/2021
1998,syrup,09/09/2021
1998,liquor,05/09/2021
1997,juice,20/09/2021
1997,cocoa,12/09/2021
1997,mustard,12/09/2021
1997,dishes,09/09/2021
1997,shopping,06/09/2021
1997,salty,01/09/2021
1996,onions,15/09/2021
1996,processed,10/09/2021
1996,sour cream,10/09/2021
1996,dog,08/09/2021
1996,shopping,02/09/2021
1995,fish,20/09/2021
1995,food,17/09/2021
1995,water,15/09/2021
1995,flour,13/09/2021
1995,zwieback,10/09/2021
1995,fish,08/09/2021
1995,salty,03/09/2021
1994,brown,20/09/2021
1994,rolls/buns,18/09/2021
1994,food,16/09/2021
1994,pasta,13/09/2021
1994,beverages,06/09/2021
1994,rolls/buns,01/09/2021
1993,candles,18/09/2021
1993,yogurt,15/09/2021
1993,sweet,15/09/2021
1993,soda,11/09/2021
1993,juice,05/09/2021
1993,sliced,03/09/2021
1992,beverages,17/09/2021
1992,frozen,14/09/2021
1992,dressing,12/09/2021
1992,vegetable juice,12/09/2021
1992,powder,11/09/2021
1992,grapes,11/09/2021
1992,grapes,10/09/2021
1991,bottled,13/09/2021
1991,cream,12/09/2021
1991,canned,12/09/2021
1991,sugar,08/09/2021
1991,film/bags,01/09/2021
1990,instant,20/09/2021
1990,nuts,18/09/2021
1990,sliced,15/09/2021
1990,baking,05/09/2021
1990,prosecco,03/09/2021
1989,rolls/buns,18/09/2021
1989,female,17/09/2021
1989,vegetable juice,15/09/2021
1989,bathroom,09/09/2021
1989,UHT-milk,09/09/2021
1989,candles,05/09/2021
1988,dog,09/09/2021
1988,bottled,08/09/2021
1988,gum,07/09/2021
1988,cookware,05/09/2021
1988,milk,04/09/2021
1987,candy,12/09/2021
1987,dish,11/09/2021
1987,beer,05/09/2021
1987,cocoa,03/09/2021
1987,fruit,03/09/2021
1987,yogurt,02/09/2021
1987,chewing,01/09/2021
1986,brown,18/09/2021
1986,mustard,15/09/2021
1986,cling,15/09/2021
1986,tropical,12/09/2021
1986,marshmallow,11/09/2021
1986,waffles,01/09/2021
1986,napkins,01/09/2021
1985,meat,18/09/2021
1985,ham,16/09/2021
1985,sliced,13/09/2021
1985,berries,06/09/2021
1985,milk,04/09/2021
1985,cling film,01/09/2021
1984,cookware,17/09/2021
1984,rolls,12/09/2021
1984,ready,11/09/2021
1984,sour cream,03/09/2021
1984,syrup,03/09/2021
1984,salty,02/09/2021
1983,rolls/buns,20/09/2021
1983,bulbs,15/09/2021
1983,male,14/09/2021
1983,cosmetics,09/09/2021
1983,make,08/09/2021
1983,fruit/vegetables,08/09/2021
1983,dressing,03/09/2021
1982,pet,15/09/2021
1982,brandy,13/09/2021
1982,salty,11/09/2021
1982,vinegar,07/09/2021
1982,ice,06/09/2021
1981,grapes,18/09/2021
1981,cocoa,15/09/2021
1981,preservation,14/09/2021
1981,fruits,13/09/2021
1981,processed,06/09/2021
1981,sauces,02/09/2021
1981,flour,01/09/2021
1980,tidbits,19/09/2021
1980,,15/09/2021
1980,dressing,11/09/2021
1980,juice,07/09/2021
1980,onions,02/09/2021
1979,tea,20/09/2021
1979,fertilizer,20/09/2021
1979,flower,16/09/2021
1979,rice,11/09/2021
1979,domestic,04/09/2021
1979,yogurt,03/09/2021
1979,water,02/09/2021
1978,bread,18/09/2021
1978,butter,14/09/2021
1978,snack,12/09/2021
1978,liver,10/09/2021
1978,spread,04/09/2021
1977,dish,17/09/2021
1977,whipped,13/09/2021
1977,fertilizer,12/09/2021
1977,seasonal,05/09/2021
1977,cat,03/09/2021
1977,make,02/09/2021
1976,film,13/09/2021
1976,rum,11/09/2021
1976,packaged,10/09/2021
1976,fat,03/09/2021
1976,long,02/09/2021
1975,brown,20/09/2021
1975,roll,17/09/2021
1975,fruit/vegetable,09/09/2021
1975,sauces,06/09/2021
1975,UHT-milk,03/09/2021
1975,sliced,01/09/2021
1973,domestic,20/09/2021
1973,butter,15/09/2021
1973,preservation,08/09/2021
1973,sweetener,07/09/2021
1973,prosecco,01/09/2021
1972,dog,18/09/2021
1972,bathroom,18/09/2021
1972,hair,18/09/2021
1972,hamburger,16/09/2021
1972,vegetable juice,11/09/2021
1972,dental,02/09/2021
1971,fish,18/09/2021
1971,bathroom,12/09/2021
1971,fruits,11/09/2021
1971,candles,01/09/2021
1971,ham,01/09/2021
1970,bulbs,18/09/2021
1970,condensed,15/09/2021
1970,bottled,05/09/2021
1970,cleaner,03/09/2021
1970,,03/09/2021
1970,nuts,02/09/2021
1969,articles,18/09/2021
1969,nuts/prunes,17/09/2021
1969,jam,16/09/2021
1969,cooking,10/09/2021
1969,skin,09/09/2021
1969,photo,09/09/2021
1969,sauces,06/09/2021
1968,bags,20/09/2021
1968,articles,17/09/2021
1968,curd,15/09/2021
1968,mayonnaise,09/09/2021
1968,frozen,03/09/2021
1968,canned,03/09/2021
1968,life,02/09/2021
1967,product,14/09/2021
1967,sanitary,08/09/2021
1967,specialty,07/09/2021
1967,pork,06/09/2021
1967,pickled,05/09/2021
1967,product,04/09/2021
1966,hamburger,19/09/2021
1966,gum,19/09/2021
1966,pudding,18/09/2021
1966,turkey,16/09/2021
1966,powder,10/09/2021
1966,soap,03/09/2021
1966,sour cream,01/09/2021
1965,rolls/buns,17/09/2021
1965,male,14/09/2021
1965,cat,12/09/2021
1965,pickled,12/09/2021
1965,berries,09/09/2021
1965,bottled,04/09/2021
1965,liqueur,03/09/2021
1964,brandy,20/09/2021
1964,bags,19/09/2021
1964,jam,17/09/2021
1964,specialty,12/09/2021
1964,gum,07/09/2021
1964,spreads,03/09/2021
1963,dishes,15/09/2021
1963,salty,13/09/2021
1963,fruit/vegetable,09/09/2021
1963,sparkling,09/09/2021
1963,misc.,08/09/2021
1963,cleaner,05/09/2021
1963,male,01/09/2021
1962,packaged fruit,19/09/2021
1962,whipped,17/09/2021
1962,ready,16/09/2021
1962,meat,13/09/2021
1962,vegetable juice,06/09/2021
1962,utensil,03/09/2021
1962,jam,02/09/2021
1961,shopping,18/09/2021
1961,nut,14/09/2021
1961,tropical,14/09/2021
1961,pastry,11/09/2021
1961,kitchen,11/09/2021
1961,bulbs,01/09/2021
1960,tropical,20/09/2021
1960,baking,19/09/2021
1960,soups,13/09/2021
1960,herbs,12/09/2021
1960,preservation,11/09/2021
1960,dog,05/09/2021
1960,salt,05/09/2021
1959,meals,20/09/2021
1959,finished,20/09/2021
1959,berries,19/09/2021
1959,hygiene,07/09/2021
1959,milk,06/09/2021
1958,white,19/09/2021
1958,root,18/09/2021
1958,sweetener,15/09/2021
1958,nut,08/09/2021
1958,dog,08/09/2021
1958,vinegar,07/09/2021
1958,white,06/09/2021
1957,eggs,11/09/2021
1957,dish,10/09/2021
1957,hair,08/09/2021
1957,rum,06/09/2021
1957,bread,02/09/2021
1957,powder,02/09/2021
1957,snack,01/09/2021
1956,,16/09/2021
1956,spices,04/09/2021
1956,cereals,03/09/2021
1956,nuts/prunes,01/09/2021
1956,ketchup,01/09/2021
1955,waffles,19/09/2021
1955,salt,16/09/2021
1955,utensil,15/09/2021
1955,flour,09/09/2021
1955,coffee,07/09/2021
1955,ready,05/09/2021
1953,packaged,19/09/2021
1953,meals,12/09/2021
1953,cooking,10/09/2021
1953,brown,08/09/2021
1953,hygiene,06/09/2021
1953,baby,01/09/2021
1952,citrus,20/09/2021
1952,cocoa,18/09/2021
1952,milk,15/09/2021
1952,keeping,11/09/2021
1952,organic,07/09/2021
1951,milk,18/09/2021
1951,citrus,16/09/2021
1951,sliced,12/09/2021
1951,red,10/09/2021
1951,finished,10/09/2021
1950,onions,18/09/2021
1950,utensil,16/09/2021
1950,beef,15/09/2021
1950,turkey,02/09/2021
1950,popcorn,02/09/2021
1949,dessert,20/09/2021
1949,cling film,19/09/2021
1949,popcorn,16/09/2021
1949,beer,13/09/2021
1949,whipped/sour,07/09/2021
1949,alcohol,03/09/2021
1949,eggs,03/09/2021
1948,potato,16/09/2021
1948,bathroom,15/09/2021
1948,pudding,11/09/2021
1948,red,06/09/2021
1948,abrasive,04/09/2021
1948,beverages,03/09/2021
1948,ready,03/09/2021
1947,photo/film,18/09/2021
1947,chewing,17/09/2021
1947,alcohol,15/09/2021
1947,rice,11/09/2021
1947,powder,09/09/2021
1947,ham,05/09/2021
1947,fruit,05/09/2021
1946,dish,19/09/2021
1946,curd,18/09/2021
1946,semi-finished,14/09/2021
1946,(appetizer),13/09/2021
1946,remover,10/09/2021
1946,food,07/09/2021
1945,bread,15/09/2021
1945,rice,14/09/2021
1945,bakery,11/09/2021
1945,whole,10/09/2021
1945,pickled,05/09/2021
1945,baby,03/09/2021
1943,ice,18/09/2021
1943,wine,09/09/2021
1943,potato,05/09/2021
1943,zwieback,04/09/2021
1943,flour,01/09/2021
1943,food,01/09/2021
1942,light,15/09/2021
1942,spreads,13/09/2021
1942,syrup,09/09/2021
1942,sugar,08/09/2021
1942,bathroom,06/09/2021
1942,dressing,04/09/2021
1941,toilet,19/09/2021
1941,bakery,16/09/2021
1941,misc.,12/09/2021
1941,ketchup,09/09/2021
1941,decalcifier,09/09/2021
1941,toilet,05/09/2021
1940,decalcifier,08/09/2021
1940,pickled,08/09/2021
1940,fruit,06/09/2021
1940,juice,03/09/2021
1940,spread,01/09/2021
1939,fertilizer,20/09/2021
1939,newspapers,14/09/2021
1939,beer,14/09/2021
1939,zwieback,09/09/2021
1939,cosmetics,02/09/2021
1939,Instant,01/09/2021
1938,sparkling,16/09/2021
1938,water,14/09/2021
1938,vegetables,11/09/2021
1938,whisky,10/09/2021
1938,soil/fertilizer,01/09/2021
1937,rubbing,18/09/2021
1937,rice,16/09/2021
1937,oil,12/09/2021
1937,(appetizer),11/09/2021
1937,softener,09/09/2021
1936,sweetener,19/09/2021
1936,other,13/09/2021
1936,rum,12/09/2021
1936,fat,06/09/2021
1936,whipped,05/09/2021
