uid,productID
1,27 90 68 9 30 102 51 164 11 56
2,49 122 11 156 56 68 62 25 164 138 143 123 67 111 9 30 105 16 130 95 127 135 160 93 61 12
3,123 131 9 44 30 105 12 63 34 88 164 119 46 1 159 138 14 145
4,94 109 20 1 53 69 158 10 129 63 164 103 88 14 143 123 111 30 105 102 39 160 119
5,74 85 32 44 40 142 12 51 156 138
6,27 101 26 105 34 102 164 98 148 88
7,106 150 109 15 40 20 1 122 11 156 164 98 138 88 14 143 123 108 105 16 165 65 160 44 99
8,27 39 68 160 9 109 61 105 102 28 121 156 99
9,85 8 20 166 122 69 54 25 164 98 17 138 14 27 111 105 34 102 130 73 39 12 58 64
10,150 109 160 30 115 26 20 165 102 65 88 164 133 122 47 138 14 92
11,150 110 53 122 156 10 68 164 138 111 30 165 51 102 28 162 95 128 159 19 160 93 45 64
12,74 14 23 9 61 64 105 58 104 151 133 122 28 156 88 56 145
13,54 12 63 102 133 162 11 89 138 14
14,27 40 138 102 88 21 121 119 127
15,20 11 122 56 68 63 164 103 138 14 30 165 95 28 135 52 160 71 99
16,135 94 49 123 90 8 68 30 40 1 102 65 97 164 99
17,138 164 123 64
18,51 164 159 67
19,163 109 45 44 165 12 63 164 149 69 138 82
20,15 20 12 102 3 130 164 95 34 69 156 138 64
21,108 15 105 166 65 164 28 122 11
22,90 115 30 104 102 164 138 64 92
23,106 123 159 130 11 122 69 156 88 14
24,49 74 165 58 162
25,20 116 69 68 26 88 138 14 9 30 105 16 165 34 102 65 73 162 44 133 64
26,160 156 34 125 143
27,123 8 40 63 34 130 164 102 159
28,27 10 90 68 8 15 20 62 165 63 84 130 95 122 11 99 138 56
29,112 32 15 11 122 121 77 62 164 149 138 14 105 165 51 130 28 73 162 24 144 159 50 160 44 133
30,150 115 136 53 122 11 156 26 62 164 17 138 145 120 105 165 102 95 39 135 93 58 99
32,27 19 128 68 109 44 30 20 58 102 12 130 122 24 47 156 138 99
33,94 27 160 115 61 30 15 63 164 11 159 127 92 82
34,14 105 164 122 99 89 138 64 145
35,49 150 15 11 63 164 138 92 123 120 111 9 105 16 165 102 95 19 61 12 133 64
36,90 123 150 20 1 164 122 47 56
37,123 68 40 20 105 165 16 138 58 3 164 122 11 128 107 88 64 143
38,49 163 109 122 156 10 164 88 138 14 67 70 9 30 165 102 130 19 61 12 99
39,94 49 123 160 44 20 165 33 102 63 35 164 1 11 122 89 92 82
40,90 111 109 160 105 20 165 102 63 130 164 28 122 103 138
41,49 163 8 1 11 68 26 164 17 14 74 105 165 84 162 24 125 144 39 93 12 64
42,52 93 102 28 98
43,90 68 150 123 115 15 67 138 165 58 63 164 73 122 157 88 99 82
44,123 45 26 30 20 16 1 63 53 122 124 156 138
45,94 49 115 15 20 142 48 59 91 11 156 10 131 18 63 164 138 14 145 111 30 165 102 34 41 95 43 160 44 12 35 64
46,112 123 67 8 109 45 30 9 102 130 164 133 156 14 82
47,49 10 37 123 8 109 132 63 130 164 95 145
