oid,uid,date,product_name,pid,price,brand
1,1829,7/4/2021,tropical fruit,156,424,Fressco
1,1829,7/4/2021,pip fruit,109,167,Fressco
1,1829,7/4/2021,other vegetables,102,331,Fressco
1,1829,7/4/2021,whole milk,164,176,Mother Dairy
1,1829,7/4/2021,rolls/buns,122,316,Godrej
2,46,7/4/2021,other vegetables,102,331,Fressco
2,46,7/4/2021,pot plants,112,238,Origami
2,46,7/4/2021,whole milk,164,176,Mother Dairy
2,46,7/4/2021,tropical fruit,156,424,Fressco
2,46,7/4/2021,citrus fruit,30,471,Rivendell
3,1877,20/09/2021,beef,8,182,Costa's
3,1877,20/09/2021,frankfurter,56,102,Springer
3,1877,20/09/2021,chicken,27,312,Costa's
3,1877,20/09/2021,butter,15,389,Amul
3,1877,20/09/2021,fruit/vegetable juice,64,183,Real
4,258,20/09/2021,packaged fruit/vegetables,103,268,Fressco
4,258,20/09/2021,chocolate,28,435,Cadbury
4,258,20/09/2021,specialty bar,143,85,True elements
4,258,20/09/2021,other vegetables,102,331,Fressco
4,258,20/09/2021,butter milk,16,464,Amul
5,605,8/7/2021,whole milk,164,176,Mother Dairy
5,605,8/7/2021,tropical fruit,156,424,Fressco
5,605,8/7/2021,tropical fruit,156,424,Fressco
5,605,8/7/2021,bottled water,12,62,Bisleri
5,605,8/7/2021,yogurt,165,496,Amul
6,1702,8/7/2021,sausage,130,201,True elements
6,1702,8/7/2021,other vegetables,102,331,Fressco
6,1702,8/7/2021,brown bread,14,423,English Oven
6,1702,8/7/2021,yogurt,165,496,Amul
6,1702,8/7/2021,hamburger meat,68,461,Springer
7,1642,19/04/2021,root vegetables,123,401,Ocean's Secret
7,1642,19/04/2021,pork,111,74,Springer
7,1642,19/04/2021,beef,8,182,Costa's
7,1642,19/04/2021,pastry,105,184,MTR
7,1642,19/04/2021,fruit/vegetable juice,64,183,Real
8,1340,19/04/2021,canned beer,20,280,Budweiser
8,1340,19/04/2021,root vegetables,123,401,Ocean's Secret
8,1340,19/04/2021,citrus fruit,30,471,Rivendell
8,1340,19/04/2021,sausage,130,201,True elements
8,1340,19/04/2021,tropical fruit,156,424,Fressco
9,25,22/04/2021,berries,9,252,Rivendell
9,25,22/04/2021,canned beer,20,280,Budweiser
9,25,22/04/2021,butter milk,16,464,Amul
9,25,22/04/2021,coffee,34,476,Nescafe
9,25,22/04/2021,pastry,105,184,MTR
10,715,22/04/2021,rolls/buns,122,316,Godrej
10,715,22/04/2021,misc. beverages,92,493,Minute Maid
10,715,22/04/2021,root vegetables,123,401,Ocean's Secret
10,715,22/04/2021,sausage,130,201,True elements
10,715,22/04/2021,canned beer,20,280,Budweiser
11,1609,27/09/2021,ham,67,412,Costa's
11,1609,27/09/2021,turkey,157,130,Costa's
11,1609,27/09/2021,whole milk,164,176,Mother Dairy
11,1609,27/09/2021,whole milk,164,176,Mother Dairy
11,1609,27/09/2021,packaged fruit/vegetables,103,268,Fressco
12,484,27/09/2021,rolls/buns,122,316,Godrej
12,484,27/09/2021,ham,67,412,Costa's
12,484,27/09/2021,rolls/buns,122,316,Godrej
12,484,27/09/2021,other vegetables,102,331,Fressco
12,484,27/09/2021,sausage,130,201,True elements
13,672,28/07/2021,sausage,130,201,True elements
13,672,28/07/2021,frankfurter,56,102,Springer
13,672,28/07/2021,rolls/buns,122,316,Godrej
13,672,28/07/2021,whole milk,164,176,Mother Dairy
13,672,28/07/2021,curd cheese,41,351,Amul
14,314,28/07/2021,red/blush wine,119,438,Budweiser
14,314,28/07/2021,sausage,130,201,True elements
14,314,28/07/2021,tropical fruit,156,424,Fressco
14,314,28/07/2021,red/blush wine,119,438,Budweiser
14,314,28/07/2021,whole milk,164,176,Mother Dairy
15,345,11/4/2021,frankfurter,56,102,Springer
15,345,11/4/2021,whole milk,164,176,Mother Dairy
15,345,11/4/2021,frozen potato products,62,189,MTR
15,345,11/4/2021,other vegetables,102,331,Fressco
15,345,11/4/2021,citrus fruit,30,471,Rivendell
16,1023,11/4/2021,flour,53,259,Aashirvaad
16,1023,11/4/2021,sugar,150,100,TATA
16,1023,11/4/2021,frozen meals,61,361,Ocean's Secret
16,1023,11/4/2021,chocolate,28,435,Cadbury
16,1023,11/4/2021,root vegetables,123,401,Ocean's Secret
17,941,19/07/2021,root vegetables,123,401,Ocean's Secret
17,941,19/07/2021,herbs,70,378,Fressco
17,941,19/07/2021,bottled water,12,62,Bisleri
17,941,19/07/2021,sausage,130,201,True elements
17,941,19/07/2021,coffee,34,476,Nescafe
18,989,19/07/2021,pork,111,74,Springer
18,989,19/07/2021,berries,9,252,Rivendell
18,989,19/07/2021,soda,138,165,TATA
18,989,19/07/2021,berries,9,252,Rivendell
18,989,19/07/2021,fruit/vegetable juice,64,183,Real
19,1646,25/04/2021,citrus fruit,30,471,Rivendell
19,1646,25/04/2021,pork,111,74,Springer
19,1646,25/04/2021,detergent,45,295,Rin
19,1646,25/04/2021,grapes,65,296,Fressco
19,1646,25/04/2021,sausage,130,201,True elements
20,737,25/04/2021,chicken,27,312,Costa's
20,737,25/04/2021,whole milk,164,176,Mother Dairy
20,737,25/04/2021,citrus fruit,30,471,Rivendell
20,737,25/04/2021,soda,138,165,TATA
20,737,25/04/2021,sausage,130,201,True elements
21,1228,22/06/2021,frankfurter,56,102,Springer
21,1228,22/06/2021,sausage,130,201,True elements
21,1228,22/06/2021,soda,138,165,TATA
21,1228,22/06/2021,rolls/buns,122,316,Godrej
21,1228,22/06/2021,beef,8,182,Costa's
22,639,22/06/2021,whole milk,164,176,Mother Dairy
22,639,22/06/2021,processed cheese,115,380,Amul
22,639,22/06/2021,tropical fruit,156,424,Fressco
22,639,22/06/2021,frankfurter,56,102,Springer
22,639,22/06/2021,packaged fruit/vegetables,103,268,Fressco
23,688,22/09/2021,whole milk,164,176,Mother Dairy
23,688,22/09/2021,berries,9,252,Rivendell
23,688,22/09/2021,citrus fruit,30,471,Rivendell
23,688,22/09/2021,tropical fruit,156,424,Fressco
